T,TM,Tm,SLP,H,VV,V,VM
22.4,27.5,19.8,-,87,6.3,3.1,3.5
21.9,27.3,19.8,-,90,6.3,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22,28.4,17.5,-,70,6.3,1.3,3.5
23.2,28.2,20,-,72,6.9,2.2,3.5
22.8,27.6,19.8,-,74,6.9,2,5.4
21.4,27.6,18.4,-,71,6.3,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.2,29.4,17.9,-,58,6.3,2,5.4
23,29.5,18.8,-,59,6.3,0.4,3.5
23.2,29.5,18.8,-,63,6.3,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20.2,27.4,19.6,-,94,4,3.5,3.5
21.4,24.6,20.2,-,91,5.5,3.7,7.6
21.9,27.4,18,-,80,6.3,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.1,28.1,17.4,-,71,6.6,2.8,3.5
21.8,28,18.3,-,70,9.2,2.8,3.5
22.2,28.8,17.1,-,68,6.3,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21.2,26.7,18,-,68,6.9,2.4,5.4
21.4,27.4,15.8,-,64,6.3,1.1,5.4
21.7,29.2,16.5,-,60,8.2,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
22.3,28.2,16.6,-,50,6.6,1.9,5.4
21.3,28.2,17,-,60,6.9,0.9,3.5
21.1,29,15.3,-,55,8,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21.9,28.6,17.6,-,72,6.3,3,9.4
22.8,29.2,18.4,-,77,6.3,1.9,3.5
23.3,29.3,19.8,-,74,5.6,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21.6,26.6,18.2,-,76,6.3,2.4,5.4
21.6,26.4,19.6,-,83,6.9,1.3,3.5
23.1,28.8,19.1,-,74,6.9,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21.1,25.2,18.8,-,78,5.5,3.1,3.5
21.4,28,17.6,-,71,6.3,1.9,5.4
21.1,28.3,17.1,-,74,7.7,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20,28.4,15.8,-,65,6.3,1.9,3.5
20.1,27.3,14.2,-,56,9.2,1.3,3.5
20.8,27.4,13.9,-,58,7.7,2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
-,-,-,-,-,-,-,-
