T,TM,Tm,SLP,H,VV,V,VM,date,PM2.5
23.0,27.5,20.6,-,84.0,4.8,4.4,5.4,2013-09-15,71.66666666666667
,,,,,,,,2013-09-16,65.625
,,,,,,,,2013-09-17,53.375
,,,,,,,,2013-09-18,56.083333333333336
23.2,28.8,20.5,-,81.0,6.3,7.6,11.1,2013-09-19,69.70833333333333
22.1,28.4,20.6,-,85.0,6.9,8.0,18.3,2013-09-20,62.375
23.1,27.9,20.2,-,80.0,6.9,5.9,11.1,2013-09-21,24.875
,,,,,,,,2013-09-22,37.333333333333336
,,,,,,,,2013-09-23,50.125
,,,,,,,,2013-09-24,46.54166666666666
23.8,28.3,19.4,-,73.0,7.7,3.9,5.4,2013-09-25,43.958333333333336
24.7,30.4,19.5,-,68.0,9.2,5.0,7.6,2013-09-26,41.5
24.9,30.8,20.0,-,64.0,7.7,4.4,7.6,2013-09-27,38.79166666666666
,,,,,,,,2013-09-28,48.91666666666666
,,,,,,,,2013-09-29,76.91666666666667
,,,,,,,,2013-09-30,34.458333333333336
23.8,29.5,19.6,-,73.0,6.9,5.0,7.6,2013-10-01,30.33333333333333
24.2,29.5,21.1,-,73.0,6.9,6.3,11.1,2013-10-02,26.666666666666668
23.6,28.9,20.3,-,72.0,6.3,4.8,7.6,2013-10-03,29.0
,,,,,,,,2013-10-04,34.25
,,,,,,,,2013-10-05,62.708333333333336
,,,,,,,,2013-10-06,65.08333333333333
24.8,30.0,20.2,-,73.0,7.7,4.1,5.4,2013-10-07,61.708333333333336
23.9,30.0,21.1,-,81.0,6.3,3.1,5.4,2013-10-08,60.54166666666666
23.2,28.4,19.2,-,80.0,6.3,3.7,9.4,2013-10-09,41.583333333333336
,,,,,,,,2013-10-10,50.91666666666666
,,,,,,,,2013-10-11,40.958333333333336
,,,,,,,,2013-10-12,60.66666666666666
23.9,28.9,20.0,-,71.0,6.9,6.7,7.6,2013-10-13,80.04166666666667
24.9,30.8,20.6,-,70.0,6.9,4.8,7.6,2013-10-14,82.83333333333333
24.1,30.8,21.6,-,79.0,6.3,3.3,5.4,2013-10-15,95.25
,,,,,,,,2013-10-16,115.83333333333331
,,,,,,,,2013-10-17,149.66666666666666
,,,,,,,,2013-10-18,145.58333333333334
24.4,30.5,20.3,-,72.0,6.9,1.5,7.6,2013-10-19,126.16666666666669
21.9,30.4,20.1,-,81.0,6.3,0.9,5.4,2013-10-20,136.70833333333334
21.5,27.2,19.5,-,85.0,6.9,2.6,7.6,2013-10-21,160.66666666666666
,,,,,,,,2013-10-22,173.58333333333334
,,,,,,,,2013-10-23,168.625
,,,,,,,,2013-10-24,174.66666666666666
23.2,27.0,20.7,-,81.0,6.3,3.3,5.4,2013-10-25,245.66666666666663
23.4,29.4,20.7,-,78.0,6.9,4.3,5.4,2013-10-26,261.6666666666667
23.3,29.4,19.8,-,80.0,5.5,3.5,5.4,2013-10-27,272.4166666666667
,,,,,,,,2013-10-28,226.29166666666663
